OBJECTID,Station_ID,Sample_Year,Waterbody_Name,Sample_Type,Fish_Species,Municipality,Subregional_Basin_Code,Sample_ID,Quantity,County,x,y
11,14141,1994,Bonemill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",TOLLAND,3100,141411994,136,Tolland,-72.3162,41.9249
55,14129,1991,Beacon Hill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BEACON FALLS,6918,141291991,6,New Haven,-73.0501,41.4684
79,14129,2016,Beacon Hill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BEACON FALLS,6918,141292016,2,New Haven,-73.0501,41.4684
98,14133,2011,Blackberry River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NORFOLK,6100,141332011,1,Litchfield,-73.2184,42.0007000000001
125,19183,1999,Birge Pond Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BRISTOL,4315,191831999,42,Hartford,-72.95122,41.6964600000001
1897,14135,2011,Blackberry River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NORFOLK,6100,141352011,1,Litchfield,-73.2196,42.0009000000001
1910,14139,2017,Bladens River (Bladdens River),Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SEYMOUR,6919,141392017,3,New Haven,-73.0608,41.3958000000001
1920,14166,1991,Deep Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEWTOWN,6019,141661991,10,Fairfield,-73.294,41.4040000000001
1928,14247,1998,Hollenbeck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CANAAN,6200,142471998,3,Litchfield,-73.3058,41.9431000000001
1939,14263,2012,Kahn Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,142632012,28,New London,-72.1702,41.5681000000001
1981,14407,1997,Pootatuck River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NEWTOWN,6020,144071997,12,Fairfield,-73.2823,41.4142000000001
2081,14725,2003,Seth Williams Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",LEDYARD,2103,147252003,2,New London,-71.9573,41.4257000000001
2088,14753,1995,Willow Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CHESHIRE,5301,147531995,2,New Haven,-72.9231,41.4766000000001
2338,15159,2010,"Morgan Brook, No name tributary to",Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BARKHAMSTED,4305,151592010,17,Litchfield,-73.0031999999999,41.9007
2341,15175,1993,Green Fall River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NORTH STONINGTON,1002,151751993,4,New London,-71.8165999999999,41.4560000000001
2426,15187,1999,Dayton Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SOUTHINGTON,5201,151871999,42,Hartford,-72.9045,41.6053000000001
2465,15259,2004,Whitford Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",STONINGTON,2104,152592004,102,New London,-71.9603,41.395
2469,15264,1997,Laurel Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MIDDLETOWN,4607,152641997,1,Middlesex,-72.6781,41.5339000000001
2472,15268,2000,Fox Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MONTVILLE,3004,152682000,14,New London,-72.1683,41.4597000000001
2543,15591,1997,"Old Tannery Brook, No name tributary to tributary",Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WOLCOTT,6914,155911997,43,New Haven,-73.0013999999999,41.575
2557,15692,1988,Owens Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SIMSBURY,4300,156921988,46,Hartford,-72.7993999999999,41.8853
2558,15694,2000,Roaring Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",GLASTONBURY,4009,156942000,1,Hartford,-72.5861,41.6639000000001
2584,15759,2005,Whitford Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",STONINGTON,2104,157592005,12,New London,-71.9605,41.3909
2615,15838,1994,Wappoquia Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",POMFRET,3709,158381994,23,Windham,-71.9603519999999,41.8689570000001
2626,15882,2016,Mill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SHARON,6302,158822016,5,Litchfield,-73.4691,41.8584000000001
2631,15900,2010,Chatfield Hollow Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",KILLINGWORTH,5105,159002010,16,Middlesex,-72.592586,41.372873
2663,16087,2004,Morgan Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BARKHAMSTED,4305,160872004,6,Litchfield,-73.0312,41.8955
2725,16282,2002,Farmill River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SHELTON,6025,162822002,1,Fairfield,-73.1729999999999,41.2930000000001
2733,16310,1989,Broad Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",ELLINGTON,4206,163101989,54,Tolland,-72.4979999999999,41.9192
2778,16466,2009,"Burrs Brook, No name tributary to",Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",NORTH BRANFORD,5112,164662009,1,New Haven,-72.802,41.3293
2788,16608,2006,Deming Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CANAAN,6202,166082006,0,Litchfield,-73.3013999999999,41.9644000000001
2791,16823,1988,Mad River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WINCHESTER,4302,168231988,11,Litchfield,-73.0977999999999,41.9342
2820,16959,1992,Pequonnock River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",TRUMBULL,7105,169591992,80,Fairfield,-73.2132999999999,41.2603
2848,17101,1993,Tankerhoosen River (Pond),Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",VERNON,4503,171011993,2,Tolland,-72.4474999999999,41.8308000000001
2857,17102,1993,Rickenback Brook (Hatch Brook),Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",VERNON,4503,171021993,30,Tolland,-72.4458,41.8328000000001
2860,17213,1993,Yantic River,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOZRAH,3900,172131993,1,New London,-72.2117069999999,41.571126
2915,17410,1995,Sawmill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WINDHAM,3208,174101995,2,Windham,-72.1999,41.7278000000001
2921,17466,2016,Giffords Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",COLUMBIA,3109,174662016,1,Tolland,-72.2911,41.6940000000001
2935,17549,2004,Bonemill Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",TOLLAND,3100,175492004,94,Tolland,-72.30743,41.9239400000001
2940,17607,1995,Willow Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CHESHIRE,5301,176071995,1,New Haven,-72.9209499999999,41.466664
2948,17607,2017,Willow Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",CHESHIRE,5301,176072017,7,New Haven,-72.9209499999999,41.466664
2958,17608,2004,Race Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",ORANGE,5307,176082004,10,New Haven,-73.027463,41.291565
2987,17645,2008,Lassell's Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",STONINGTON,1000,176452008,16,New London,-71.851171,41.3973530000001
3016,17748,2015,Jericho Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",WATERTOWN,6900,177482015,58,Litchfield,-73.0808749999999,41.6320380000001
3018,17757,2013,Poplar Swamp Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",FARMINGTON,4300,177572013,121,Hartford,-72.845533,41.74875
3035,17774,2000,Gillettes Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SOMERS,4202,177742000,17,Tolland,-72.42761,41.99643
3040,17774,2010,Gillettes Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",SOMERS,4202,177742010,10,Tolland,-72.42761,41.99643
3051,17893,2017,Hubbard Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",MIDDLETOWN,4000,178932017,29,Middlesex,-72.5649999999999,41.5290000000001
3070,17971,2001,Railroad Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOLTON,4503,179712001,4,Tolland,-72.4529899999999,41.7922
3076,17971,2002,Railroad Brook,Quantified_Electrofishing_all_species_cencus,"Brook Trout, Wild",BOLTON,4503,179712002,1,Tolland,-72.4529899999999,41.7922
